,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish,translated_from_portuguese
16803,32527,I agree completely.,Je suis tout à fait d'accord!,මම සම්පූර්ණයෙන්ම එකඟයි.,私は完全に同意します! | 私は心から同意します。,Sono completamente d'accordo.,まったく同感です。,我完全同意。,මම සම්පූර්ණයෙන්ම එකඟයි.,Estou totalmente de acordo. | Eu concordo totalmente.
16844,32569,I don't know yet.,Je ne sais pas encore.,Das weiß ich noch nicht.,Ještě nevím.,Ne tak ancora. | Já ne tak ancora.,まだわからない。,මම තාම දන්නේ නෑ.,Nie wiem jeszcze.,Já jsem ještě nevěděl. Já jsem ještě nevěděl. Já jsem ještě nevěděl.
16903,32635,See you again.,Au revoir! | À plus.,Auf Wiedersehen! | Auf Wiederschauen!,"再见,再见。",Arrivederci.,さようなら。 | では、また会いましょう。 | またね。 | また会おうね。,ආයුබෝවන්!,Do zobaczenia ponownie.,بېرته وګورئ
16937,32672,See you soon!,À bientôt! | À tout à l'heure! | À bientôt! | À tout à l'heure!,బిస్ బ్లూడ్!,"再见,再见,再见,再见!",ایک presto!,またすぐ会おうね。 | さようなら。 | ではまた近いうちに! | ではまた近々。,一会兒見! | 一会兒見!,Do zobaczenia جلد ہی.,تا لوگو!
17093,32841,A friend in need is a friend indeed.,A friend in need is still a friend. | A friend in need is truly a friend. | A true friend is the friend of difficult times. | True friends are recognized in need. | True friends are recognized in misfortune. | True friends are recognized in misery. | True friends are recognized in misfortune. | True friends are discovered in misfortune. | True friends are revealed in adversity. | True friends are recognized in need.,Wahre Freunde erkennen man in der Not. | Freunde in der Not gehen tausend auf ein Lot. | In der Not erkennen man den wahren Freund. | Freunde erkennen man in der Not.,紧迫时刻的朋友是紧迫时刻的朋友。紧迫时刻的朋友是紧迫时刻的朋友。,L'amico certo si conosce nell'avversa fortuna.,まさかの時の友は真の友。 | まさかの時の友こそ真の友。,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",Prawdziwych przyjaciół poznaje się w biedzie.,No aperto e no perigo é que se conhece o amigo.
17588,33354,Take a taxi to the hotel.,Vemte taxi až do hotelu.,Nehmen Sie ein Taxi zum Hotel. | Nimm ein Taxi zum Hotel! | Nimm ein Taxi zum Hotel.,பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்,ホテルごとにタクシーを乗る。| ホテルごとにタクシーを乗る。,Taxi to the hotel.,打的去旅馆吧.,Weź taksówkę do hotelu.,Pegue um táxi para o hotel.
17763,33536,I don't like coffee.,Je n'aime pas le café. | Je n'apprécie pas le café.,Ich mag keinen Kaffee.,私はコーヒーが好きではありません。| 私はコーヒーが好きではありません。,Non mi piace il caffè. | A me non piace il caffè.,I don't like coffee.I don't like coffee.I don't like coffee.,I don't like drink coffee. | I don't like coffee.,Nie lubię kawy.,Eu não gosto de café. | Não gosto de café.
17933,33712,I feel homesick.,J'ai le mal du pays.,Ich habe Heimweh.,"我想回家,我想回家,我想回家,我想回家,我想回家,我想回家,我想回家。",Ho nostalgia di casa. | Io ho nostalgia di casa.,ホームシックです。,我想家了。 | 我想家。,Tęsknię za domem.,Estou com saudade de casa.
17991,33771,Do you have a pen?,Avez-vous un stylo? | Tu as un stylo? | As-tu un stylo?,Hast du einen Stift? | Haben Sie einen Stift? | Hast du einen Kugelschreiber dabei?,നിനക്കൊരുעט ഉണ്ടോ?,Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář? | Máš kancelář?,I don't know if I have a pen or not.,ඔයා筆ද?,Czy masz długopis?,നിങ്ങൾ tem uma caneta?
18223,34011,Do your best.,Dělej to nejlepší. | Dělej to nejlepší. | Dělej to nejlepší.,Gib dein Bestes. | Geben Sie Ihr Bestes!,"Udělej, co můžeš.",』 | Fate del vostro meglio. | Faccia del suo meglio. | Faccia del suo meglio.,I will do my best. | ベストを尽くせ. | ベストを尽くしなさい.,盡力而為.,Daj z siebie wszystko.,Faça o seu melhor! | Dê o melhor de si! | Faça o melhor possível!
18989,34819,It's brand new.,Je to všechno nové. | Je to všechno nové. | Je to plamenující novo.,Es ist brandneu. | Es ist nagelneu. | Er ist nagelneu. | Sie ist nagelneu.,"To je úplně nový. | To je úplně nový. | To je nový, ישר מאריזה. | To je nový nový.",È nuovo di zecca. | È nuova di zecca.,ピカピカの新製品です。,මේක අලුත් එකක්.,Jest úplně nový. | Jest úplně nový. | Jest úplně nový.,Je to hodně nové. | É nova em folha. | É novinho em folha. | É novinha em folha. | Está novinho em folha. | Está novinha em folha. | Está novinha em folha.
19015,34846,"Two beers, please.","| Deux bières, je vous prie!","Zwei Bier, bitte!",कृपया दो बार बियर करें।,"Promiňte, prosím. | Promiňte, prosím.",Beerを2つください.,请来两杯啤酒。,Proszę dwa piwa. | Poproszę dwa piwa.,"Duas cervejas, por favor."
19153,34991,Do you like playing volleyball?,Aimes-tu jouer au volley? | Aimez-vous jouer au volley-ball?,Spielst du gerne Volleyball? | Spielt ihr gerne Volleyball? | Spielen Sie gerne Volleyball?,നിനക്ക് כדורעף കളിക്കാൻ ഇഷ്ടമാണോ?,Líbí se ti hrát pallavol? | Líbí se ti hrát pallavol? | Líbí se ti hrát pallavol? | Líbí se ti hrát pallavol? | Líbí se ti hrát pallavol? | Líbí se ti hrát pallavol?,Do you like to play volleyball?,你喜欢打排球吗?,Czy lubisz grać w siatkówkę?,Máte rádi hrát vôlei? | Gostas de jogar voleibol? | Máte rádi hrát vôlei? | Gostas de jogar vólei?
19253,35096,Who wrote Hamlet?,Qui a écrit Hamlet?,Wer schrieb Hamlet? | Wer hat Hamlet geschrieben?,پښتو ته راواپس کېدل,Chi ha scritto Amleto?,Who wrote Hamlet?,哈姆雷特是誰寫的?,Kdo jest autorem Hamleta?,Who wroteu Hamlet?
19520,35385,Let's take a bus.,Prenons odvezl autobus.,"එන්න, wir fahren mit dem Bus.",バスに乗る | バスに乗る | バスに乗る。,Takeiamo un bus. | Takeiamo un bus.,バスで行こう.,Let's take a taxi.,Pojedźmy autobusem.,Vamos pegar um bus.
19601,35471,Fill the bucket with water.,Emplis le seau d'eau! | Emplis le seau d'eau! | Remplis le seau d'eau! | Remplissez le seau d'eau!,Füll den Eimer mit Wasser.,पानी भरो।,Riempi il secchio d'acqua. | Riempia il secchio d'acqua. | Riempite il secchio d'acqua.,バケツを水で満たしなさい.,把水裝滿桶子.,Napełnij wiadro wodą.,Encha o balde com water.
19616,35489,Don't talk nonsense!,Ne dis pas n'importe quoi!,Rede keinen Unsinn! | Rede keinen Blödsinn!,(मुसलमानों) बेशक ये (कुफ्फ़ार) यक़ीनन बदचलन हैं,Neříkej stupidaggini! | Ne řekni stupidaggini! | Ne řekni stupidaggini!,バカなことを言うな! | しょうもないこと言わないで. | ふざけるな!,不要說廢話! | 你别胡说!,Nie mów bzdur! | Nie gadaj bzdur!,നിയോ ഡിഗ ബെസ്റ്റീറ!
19708,35586,Here are your keys.,Voici vos clés. | Voilà vos clés.,Tady jsou vaše klíče. | Tady jsou vaše klíče. | Tady jsou vaše klíče.,Tady jsou tvoje klíče.,Ecco le tue chiavi. | Ecco le vostre chiavi. | Ecco le sue chiavi.,はい、あなたの鍵です。,Here's your key. | Here's your key.,Tutaj są twoje klucze. | Oto pańskie klucze.,Tady jsou jejich klíče.
20167,36088,What?,Quoi? | Comment? | Quoi? | De quoi?,ఉంది?,මොකද?,Co? | Che cosa? | Che?,क्या कहा? え? | 何? | どうした?,क्या? | क्या?,Co?,O quê? | Hem? | Como é? | Que é? | Que foi? | Quê? | Qual? | Quais? | Oi? | Hã?
20174,36097,How cute!,Comme c'est mignon! | Trop mignon! | Trop mignonne! | Que c'est mignon!,Was ist das nicht süß! | Wie süß! | Wie niedlich!,כמה חמוד!,Che carino! | Che carina! | Che carini! | Che carine!,なんて可愛いんでしょう。 | かわいい!,好可愛! | 多可愛啊!,Jak uroczo!,Que bonitinho! | Que fofinho! | Que bonitinha! | Que fofinha!
20359,36297,Everything is ready.,ඔක්කොම ලෑස්තියි.,Alles ist bereit. | Alles ist fertig.,Všechno připraveno.,Tutto è pronto.,万事準備ができました。 なにもかも準備ができた。 | 準備は万端です。 | 準備完了!,හැමදෙයක්ම ඉවරයි.,හැම දෙයක්ම විහිළුවක්.,| あああああああああああああ。
20396,36344,Why is he here?,എന്താ ഇവിടെ?,ඇයි එයා මෙතන?,Proč je tady? Proč je tady?,Why is he here? | Why is he here?,Why is he here?,ඇයි එයා මෙතන?,Czemu on tu jest? | Dlaczego on tu jest?,Por que ele está aqui?
20451,36405,Why are you crying?,Why pleures-tu? | Why pleures-tu?,Wieso weinst du? | Warum weinst du? | Warum weint ihr? | Warum weinen Sie?,क्यों रोते हो? | क्यों रोते हो?,Proč piangi? | Proč stai piangendo? | Proč piange? | Proč sta piangendo? | Proč piangete? | Proč state piangendo?,Why are you crying? Why are you crying?,なぜ泣くの? | なぜ泣くの?,Dlaczego płaczesz? | Dlaczego płaczecie?,Почему ты плачешь? Почему ты плачешь? Почему ты плачешь? Почему ты плачешь?
20459,36413,Why did you quit?,Pourquoi as-tu démissionné? | Pourquoi avez-vous démissionné? | Pourquoi as-tu arrêté?,ඇයි ඔයා නැඟිටින්නේ?,Dlaczego wyjechałeś? | Dlaczego rozprawa?,Proč máš rád? | Proč máš rád? | Proč máš rád?,Why やめたのの? | Why やめたの?,ඇයි ඔයා රස්සාවෙන් අස් උනේ?,Czemu zrezygnowałeś?,Por que você desistiu? | Por que você saiu?
20465,36419,Why?,ඇයි?,Why? | Wieso?,Proč? | Proč?,ඇයි?,ඇයි? ඇයි? ඇයි? ඇයි? ඇයි?,ඇයි?,Czemu? | Dlaczego?,Por quê? | Por que motivo? | Por qual motivo?
21008,37011,Tom goes to school on foot.,汤姆步行去学校。,Tom geht zu Fuß zur Schule.,ടോം സ്കൂളില് പോകുന്നു.,ടോം va a scuola a piedi.,トムは歩いて学校へ通っている。 | トムは歩いて通学している。,湯姆走路去上學。,Tom chodí pieszo do školy.,Tom jde do školy a pé.
21012,37015,Tom likes to knit.,Tom aime tricoter.,汤姆喜欢打球.,תום לסרוג ഇഷ്ടപ്പെടുന്നു.,Tom piace fare la maglia.,トムは編み物をするのが好きだ。,湯姆喜歡編織。,Tom má rád dělat na drutach.,Tom gosta de tricotar.
21025,37029,Tom frowned.,టామ్ sourcilla.,Tom runzelte die Stirn. | Tom blickte finster drein.,பாலின விகிதம் | பாலின விகிதம் விகிதம்,Tom si è accigliato. | Tom si accigliò. | Tom si è corrucciato. | Tom si corrucciò.,I've got eyes on him.,湯姆皱著眉頭(湯姆皱著眉頭)。,Tom zmarszczył brwi.,టామ్ franziu ఒక testa.
21049,37053,Tom is interested in mountaineering.,Tom se zajímá o alpinismus.,Tom interessiert sich für Bergsteigen.,ටොම්ටර් කැමතියි කඳු නගින්න.,Tom si interessa di alpinismo.,トムは登山に興味がある。,湯姆對登山感興趣. | 汤姆對登山很感兴趣.,Tom interesuje się alpinizmem.,Tom se interessa por alpinismo. | Tom tem interesse em alpinismo.
21073,37077,Tom is a student.,Tom est un étudiant. | Tom est étudiant.,Tom ist Student. | Tom ist Schüler.,Tom je student. Tom je student. Tom je student. Tom je student.,ടോം ഒരു വിദ്യാര് ത്ഥിയാണ്.,トムは学生です。 | トムは学生です。,Tom is a student.,汤姆嘲笑学生。,Tom je student.
21078,37083,Tom is interested in mathematics.,汤姆对数学很感兴趣。,Tom interessiert sich für Mathematik.,汤姆不想学数学。,Tom è interessato alla matematica.,He is interested in mathematics.,湯姆是對數學感興趣. | 湯姆對數學感興趣.,Tom interesuje się matematyką.,Tom tem interés por matemática. | Tom está interessado em matemática.
21093,37098,Tom drove the car.,汤姆驾驶汽车。,Tom saß am Steuer.,ටොම් נהג ברכב.,Tom ha guidato la macchina. | Tom guidò la macchina. | Tom ha guidato l'auto. | Tom ha guidato l'automobile. | Tom guidò l'auto. | Tom guidò l'automobile.,He drove the car.,ටොම්开的车.,ටොම් prowadził samochód.,Tom dirigiu o carro.
