,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish
12245,27641,Leave me alone.,Laisse-moi tranquille. | Laissez-moi tranquille. | Laisse-moi seule! | Laissez-moi tranquille! | Fous-moi la paix! | Laissez-moi seul.,Lass mich in Ruhe! | Lass mich in Ruhe.,මාව තනියම තියන්න. | תניחו לי לנפשي. | תעזוב මාව בשקט. | תעזבי මාව במנוחה.,Lasciami da solo. | Lasciami da sola. | Mi lasci da solo. | Mi lasci da sola. | Lasciatemi da solo. | Lasciatemi da sola. | Lasciatemi da sola.,Leave me alone!Leave me alone!Leave me alone!Leave me alone!Don't disturb me!Leave me alone!Leave me alone!,මට තනියම ඉන්න දෙන්න.,Zostaw mnie w spokoju.
12400,27808,He didn't say a word.,Neřekl jsem nic. Neřekl jsem absolutně nic. Neřekl jsem nic.,Neřekl ani slovo. | Neřekl ani slovo. | Neřekl ani slovo. | Neřekl ani slovo. | Neřekl ani slovo. | Nevedl ani jediné slovo ven. | Neřekl ani jediné slovo.,उसने कुछ नहीं कहा. | उसने कुछ नहीं कहा. | उसने कुछ नहीं कहा और कुछ भी नहीं कहा. | उसने कोई भी शब्द निकाला.,Ne ha detto una parola. | Lui non ha detto una parola. | Non disse una parola. | Lui non disse una parola.,He didn't say anything. | He didn't say a word. | 一言も彼は口にしなかった. | ただの一言も彼は喋らなかった. | たったの一言も彼は言わなかった. | 彼は一言も口をきかなかった.,වෙන මොකුත් කියන්න එපා.,Nie powiedział ani słowa.
12586,28006,What did he say?,Qu'est-ce qu'il a dit? | Qu'a-t-il dit?,hat er gesagt ఉంది?,What did he say?,Che cos'ha detto? | Cos'ha detto? | Che ha detto?,ඔහු මොනාද කිව්වෙ?,මොනාද කිව්වේ?,Co jsi řekl?
12698,28129,Wrong.,Příšerný! Příšerný!,Falsch.,Imposiso.,Sbagliato.,違うんだ. | ブッブー!,錯.,Źle.
12727,28159,My stomach hurts.,J'ai mal à l'estomac. | Mon estomac me fait mal.,Já mám Bauchschmerzen. | Mein Bauch schmerzt. | Já mám Magenschmerzen. | Mein Bauch tut mir weh. | Já mám Bauchweh.,මගේ පපුවේ රිදෙනවා. | මගේ පපුවේ රිදෙනවා. | මගේ බඩ රිදෙනවා.,Mi fa పురుషుడు lo stomaco.,胃が痛いです。 | 胃が痛いの。 | おなかが痛い。 | 胃が痛い。 | 胃が痛いです。 | 私、胃が痛いよ。,胃疼我胃疼我胃疼我胃疼我胃疼。,Bolí mě břicho.
13148,28607,Not bad.,പാസ് മല.,Nicht schlecht. | Nicht übel!,^ a b c d e g a g | Not bad.,غیر مرد.,悪くないね.,නියමයි.,Nieźle.
13494,28989,I like pizza very much.,J'aime beaucoup la pizza. | J'adore la pizza.,Ich mag Pizza sehr gerne. | Ich mag Pizza sehr. | Ich liebe Pizza.,నేను చాలా פיజ్జా ప్రేమ.,Mi piace molto la pizza. | A me piace molto la pizza.,I love pizza.,我非常喜歡比薩。,Moc rád pizzę.
13554,29049,I am at home.,Já jsem v domě.,Ich bin zu Hause. | Ich bin zuhause.,میں گھر میں ہوں.,Sono a casa. | Io sono a casa.,I am at home. | I am at home. | うちにいます. | 家にいる.,私は家にいる | 我在家にいる。,Jestem w domu.
14079,29600,Linda loves chocolate.,Linda miluje le chocolat.,Linda mag Schokolade. | Linda liebt Schokolade.,ලින්ඩා චොකලට් වලට කැමතියි.,A Linda piace la cioccolata. | Linda ama la cioccolata.,リンダはチョコレートが好きだ。 | リンダはチョコが大好きだ。,琳達喜歡巧克力。,Linda kocha czekoladę.
14090,29612,I am eating an apple.,Je mange une pomme.,Ich esse einen Apfel. | Ich esse gerade einen Apfel.,මම දැන් අ תפוח עץ කන්නම්.,Sto mangiando una mela. | Io mangio una mela. | Io sto mangiando una mela.,りんごを食べています。 | リンゴ食べてます。 | 私はりんごを食べています。,我在吃个 ඇපල්.,Jem jabłka.
14108,29632,The apple fell from the tree.,La pomme est tombée de l'arbre. | La pomme tomba de l'arbre.,Der Apfel ist vom Baum gefallen. | Der Apfel fiel vom Baum.,תפוח נשר מהעץ.,^ “La mela è caduta dall'albero. | La mela cadde dall'albero.,りんごが木から落ちた.,那苹果从树上掉下来.,Jabłko spadło z drzewa.
14125,29653,Lincoln died in 1865.,リンカーンは1865年に没した。,リンカーンは1865年に死去。,Линкольн умер в 1865 году.,1865 ஆம் ஆண்டில் லிங்கன் இறந்தார்.,Lincoln died in 1865.,He died in 1865.,Lincoln umarł w 1865 r.
14219,29749,I'm listening to the radio.,J 'écoute la రేడియో.,Ich höre Radio.,| 私は מאזין לרדיו. | 私は מקשיב לרדיו.,Sto ascoltando la radio. | Io sto ascoltando la radio.,ラジオを聞いています。 | ラジオを聞いてるんだよ。,මම අහන්න收音機.,Słucham radia.
14232,29763,Turn on the radio.,රේඩියෝවෙන් ඇල්ලූම් කරන්න.,Mach das రేడియో ఒక.,| תדליקי את הרדיו.,Accendi la radio. | Accenda la radio. | Accendete la radio.,| ラジオをつけなさい。 | ラジオをつけくれ。 | ラジオをつけください。,收音机 අරින්න.,Włącz రేడియో.
14311,29846,The lion is the king of the jungle.,Le lion est le roi de la jungle.,Der Löwe ist der König des Dschungels.,האריה king of the jungle ہے.,Il leone è il re della giungla.,The Lion is the king of the jungle.,The Lion is the king of the jungle.,Lew jest králem dżungli.
14382,29922,Listen carefully.,注意! 注意! 注意! 注意! 注意! 注意! 注意!,Hör gut zu! | Höre aufmerksam zu.,अच्छी तरह से ध्यान दें. अच्छी तरह से ध्यान दें. अच्छी तरह से ध्यान दें. अच्छी तरह से ध्यान दें. अच्छी तरह से ध्यान दें.,अकालत अकालत अकालत अकालत अकालत अकालत अकालत अकालत अकालत अकालत अकालत अकालत अकालत,よく聞きなさい。 | よく聞いて。 | よく聞け!,ശ്രദ്ധിച്ചു കേള് ക്കൂ.,غور سے سنو.
14483,30030,School starts in September in Europe.,L'école commence en septembre en Europe. | Les cours commencent en septembre en Europe.,In Europa fängt die Schule im September an.,Szkoła rozpoczyna się we wrześniu w Europie.,La scuola inizia a settembre in Europa. | La scuola inizia a settembre in Europa.,In Europe the school starts in September.,The school opened in September.,The school in Europe starts in September.
14506,30054,Sweet dreams!,Fais de beaux rêves! | Faites de beaux rêves!,Träum süß! | Träum schön! | Ich wünsche dir angenehme Träume!,زموږ په اړه,Sogni d'oro!,හොඳ හීනයක්.,祝你好梦。,Słodkich snów!
14536,30085,Have a nice day.,Bonne journée! | Passe une bonne journée. | Je vous souhaite le bonjour! | Passe une bonne journée!,Schönen Tag! | Einen schönen Tag. | Ich wünsche dir einen schönen Tag. | Ich wünsche euch einen schönen Tag. | Ich wünsche Ihnen einen schönen Tag.,සුභ දවසක් වේවා! සුභ දවසක් වේවා!,ശുഭദിനം.,| じゃーな、楽しみよ。 | 良い一日を。 | 良い1日を!,සුභ දවසක් වේවා.,Miłego dnia.
14575,30126,Drive slowly.,Conduis lentement. | Conduisez lentement!,Fahre langsam. | Fahre langsam!,もっと速く。 | 速く。,ഗൈഡ പതുക്കെ. | ഗൈഡറ്റ് പതുക്കെ. | ഗൈഡി പതുക്കെ.,හෙමීට එලවන්න.,开车慢点。,හෙමීට යන්න.
14751,30316,Hi! How are you?,Salut! Comment ça va? | Salut! Comment vas-tu?,Hallo! Wie geht es dir? | Hallo! Wie geht’s?,"හෙයි, හෙයි, හෙයි, හෙයි.",Ciao! come stai?,元気か?,こんにちは! こんにちは? | こんにちは、あなたは?,Cześć! Jak się masz?
14824,30397,Louder.,Plus pevnost.,Lauter.,声 - 声 - 声 - 声 - 声 - 声,Ještě silnější.,もっと大きくして. | 上げ.,| 大点儿声.,Głośniej. | Głośniej!
14826,30399,"Louder, please.","Plus fort, s'il vous plait.","ലൌട്ടര്, ദയവ് ചെയ്ത്.",زیادہ مضبوط براہ مہربانی.,"Più forte, per favore. | Più forte, per piacere.",もっと大きい声で言ってください。,请大声一点。,"අහන්න, කරුණාකරලා."
14958,30542,Definitely!,തീര് ച്ചയായും!,Auf jeden Fall!,ប្រាកដ ហើយ!,Decisamente!,Samozřejmě! | Samozřejmě!,| 当然哪!,Zdecydowanie!
15238,30835,I wouldn't do that if I were you.,Je ne le ferais pas si j'étais vous. | Je ne le ferais pas si j'étais toi.,"I wouldn't do it in your place. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it. | If I was you, I wouldn't do it.",I wouldn't do it if I were you. I wouldn't do it if I were you. I wouldn't do it if I was you. I wouldn't do it if I was you. I wouldn't do it if I was you.,例如:Io non lo farei se fossil in te. | Io non lo farei se fossil in voi. | Io non lo farei se fossil in lei.,I wouldn't do that if I were you. | I wouldn't do that if I were you. | I wouldn't do that if I were you.,"If I am you, I will not do that thing.",Nie robiłbym tego na twoim miejscu. | Nie robiłbym tego na twoim miejscu.
15358,30970,Are you there?,Jsi tam? | Ty jsi tam? | Jsi tam? | Ty jsi tam?,ബിസ് ടു ഡാ?,మీరు ఉన్నాయి?,നിനക്കെന്താ? നിനക്കെന്താ?,もしもし、来ていますか. | そこにいるの?,ඔයාද?,Jsi tam?
15690,31334,Time is up.,| 時間は過ぎた。,Die Zeit ist um.,நேபாளத்தில் இருந்து நேபாளத்தில் இருந்து நேபாளத்தில் இருந்து நேபாளத்தில் இருந்து நேபாளத்தில் இருந்து நேபாளத்தில் இருந்து நேபாளத்தில் இருந்து.,Čas je finito. | Čas je scaduto. | Není víc času.,もう終わりです。 | 時間終了。 | はい、そこまで。,වෙලාව ඇවිත්.,Czas minął.
15703,31348,We have no time.,ہم وقت پاس نہیں ہے.,Wir haben keine Zeit.,අපිට විනෝදයක් නෑ.,Non abbiamo tempo.,もう時間がない。 | うちらには時間がないんだよ。,අපි没 වෙලා.,Nie mamy tempo.
15728,31380,I have to leave now.,"Je třeba que j'y aille maintenant. | Je dois partir maintenant. | Je dois y aller. | Je faut que j'y aille, maintenant.",Musím teď jít. | Musím teď weggehen. | Musím teď los.,Musím teď odejít. Musím teď odejít. Musím teď odejít. Musím teď odejít. Musím teď odejít. Musím teď odejít. Musím teď odejít.,Devo partire ora. | Devo partire adesso.,I have to go now. | もう行かなくちゃ. | もう失礼しなくては。 | もう行かなくちゃ. | もう失礼しなくては。 | もう行かなくちゃ. | もうおいとましなければなりません。,මම该走了.,Muszę już wyjść. | Muszę już iść.
15737,31390,"No, thank you.",نہیں، رحمت.,"නෑ, ස්තුතියි.",نہیں، شکریہ.,"Ne, díky.",いえ、結構です。 | 大丈夫です。,"不用了,谢谢。","Nie, ස්තූතියි."
15814,31476,"Could you repeat that, please?","Pouvez-vous répéter cela, s'il vous plaît?",Pouvez-vous le répéter? | Pouvez-vous le répéter encore une fois? | Pouvez-vous le répéter encore une fois? | Pouvez-vous le répéter encore une fois? | Pouvez-vous le répéter encore une fois? | Pouvez-vous le répéter encore une fois?,"Jste připraveni to vrátit, prosím?","Potresti ripetermelo, per favore? | Può ripetere, per favore?",もう一度言ってくださいますか。,你能重复一下吗?,"Proszę, powtórz. | Czy mógłbyś to powtórzyć?"
15855,31522,Please show me another one.,"S'il te plaît, montre-m'en un autre. | Montrez-moi un autre, s'il vous plaît. | Veuillez m'en montrer une autre. | Veuillez m'en montrer un autre. | Montre-m'en un autre s'il te plaît. | Montre-m'en une autre, je te prie.",Bitte zeigen Sie mir ein Anderes. | Zeig mir bitte einen anderen.,කරුණාකරලා මට පස්සේ බලන්න.,| | | | | | | | |,もう一つ別の物を見せてください。 | ほかのを見せてください。,请给我看看另一个。,Ukaž mi prosím Inny.
16000,31683,It's already seven.,Il est déjà 7 heures.,Es ist schon um 7.,7 ஆம் நூற்றாண்டு முதல் 7.,Sono già le 7.,もう7時よ. | もう7時だよ.,දැන් 7点.,Już jest 7.
16038,31723,Try again.,Essaie encore. | Essayez de nouveau. | Essaie de nouveau.,Zkuste to ještě jednou. | Zkuste to ještě einmal. | Zkuste to ještě mal.,Zkus to ještě jednou. | Zkus to ještě jednou.,Provi ancora. | Prova di nuovo. | Provi ancora. | Provi di nuovo. | Provi ancora. | Provate ancora. | Provate di nuovo.,もう1度やってみなさい。 | もう一度やってみなさい。 | もう onceやってみなさい。,再試一下. | 再試一次.,Spróbuj jeszcze raz.
