,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
16803,32527,I agree completely.,I totally agree.,I totally agree.,I totally agree.,I totally agree.,I totally agree.,I totally agree!,I totally agree.,I totally agree.,I totally agree.,I totally agree.,I totally agree.,I totally agree.,I totally agree.
16844,32569,I don't know yet.,I don’t know yet.,I don’t know it yet.,I don’t know yet.,I don’t know yet.,I don’t know that yet.,I don’t know yet.,I don’t know yet.,I don’t know yet.,I don’t know yet.,Until I know.,I don’t know it yet.,I don’t know yet.,I don’t know yet.
16903,32635,See you again.,Goodbye to!,to see!,Let us see!,Goodbye to you!,to see again!,Goodbye to.,Arrive to us.,Let us meet again.,to see again.,We will see.,We will see us next.,We will meet again.,Let’s see later.
16937,32672,See you soon!,Let’s see a moment!,to see!,We will see soon!,Soon to soon!,Until soon!,Goodbye soon.,Soon to soon!,We will see you again soon.,to see soon.,Until soon!,until then!,We will meet soon!,We will see you soon!
17093,32841,A friend in need is a friend indeed.,suffering to see the truth.,"In need, you get to know your friends.",A friend is supported.,A friend in need is a friend anyway.,True friends are recognized in the emergency.,A friend in a difficult time is a true friend.,You know each other in the opposite fortune.,The true friend is the true friend.,True friends are found in poverty.,Friends are in trouble.,A friend in need is a true friend.,The true friend will be revealed in the black day.,Friends get acquainted in misery.
17588,33354,Take a taxi to the hotel.,Go to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel.,Take a taxi to the hotel.
17686,33455,Where is the mailbox?,Where is the mailbox?,Where is the postal bus?,Where is the mailbox?,Where is the mailbox?,Where is the postal box?,Where is the mailbox?,Where is the mailbox?,Where is the post?,Where is the mailbox?,Where is the mailbox?,Where is the pocket?,Where is the mailbox?,Where is the mailbox?
17763,33536,I don't like coffee.,I don’t like to drink coffee.,I don’t like coffee.,I don’t like coffee.,I don’t like coffee.,I don’t like coffee.,I don’t like coffee.,I don’t like coffee.,I hate coffee.,I don’t like coffee.,I don’t like coffee.,I don’t like coffee.,I don’t like coffee.,I don’t like coffee.
17933,33712,I feel homesick.,I want home.,I have home.,I have a home age.,I have the evil of the country.,I have home pain.,I miss home.,I have nostalgia at home.,It is homicide.,I miss the house.,I sweat at home.,I strange my home.,I feel the homeland.,I missed my home.
17991,33771,Do you have a pen?,Do you have a pen?,Do you have a pen?,Do you have a pen?,Do you have a pen?,Do you have a pen?,Do you have a pen?,Do you have an office?,Do you have a pen?,Do you have a wallpaper?,Do you have a hand?,Do you have a bulgar?,Do you have a pen?,Do you have a handle?
18223,34011,Do your best.,For the best.,Do your best.,Do your best.,Do your best.,Give your best.,Do as much as you can.,Do your best.,Do your best.,Give everything from yourself.,Try it!,Do the best you can.,Do what you can.,Do everything in your power.
18989,34819,It's brand new.,This is completely new.,It is completely new.,It is new.,It is all new.,It is brand new.,It is completely new.,It is new to Zecca.,A great new product.,It is completely new.,He is completely new.,It is completely new.,He is new.,He is completely new.
19015,34846,"Two beers, please.",Please get two cups of beer.,"Two beers, please.","A beer, thank you.","There are two beer, please.",Two beers please.,"I drink a beer, please.",Two beers please.,Please take two beer.,Please drink two beers.,Two beers please.,Two beers please.,Please have two beers.,"A beer, please."
19153,34991,Do you like playing volleyball?,Do you like to play football?,Do you like volleyball?,Do you like to play airball?,Do you like to play volley?,Do you like to play volleyball?,Do you like to play football?,Do you like to play ball?,Do you like to play ball?,Do you like to play on the grid?,Do you like playing volleyball?,Do you like to play volleyball?,Do you like playing volleyball?,Do you like to play volleyball?
19253,35096,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote Hamlet?,Who wrote the Hamlet?,Who wrote Amel?,Who wrote Hamlet?,Who is the author of Hamlet?,Who wrote “Hamlet”?,Who wrote “Hamlet”?,Who wrote Hamlet?,Who wrote Hamlet?
19520,35385,Let's take a bus.,Let us take the bus.,Let us take a bus.,Let’s go by bus.,Let us take a bus.,"Come, we go on the bus.",Let’s take a bus.,We take a bus.,Let’s go by bus.,Let’s go by bus.,We go on the bus.,Take a bus.,Let’s go to the bus.,Let’s go on the bus.
19601,35471,Fill the bucket with water.,Fill the bottle with water.,Fill the emmer with water.,Fill the shell with water.,Take the water seed!,Fill the egg with water.,Fill the water.,Fill the water sec.,Fill the bag with water.,Fill the water.,Put it into the water.,Fill the ball with water.,Fill the box with water.,Fill the water.
19616,35489,Don't talk nonsense!,Don’t say the discourse!,Don’t say stupidity!,Don’t speak stupidly.,Don’t say anything!,Do not speak foolish.,Do not talk foolish!,Don’t say stupid.,Don’t say stupid things!,Don’t say foolish!,Don’t say foolish.,Don’t say bullshit!,not foolish!,Don’t say the nonsense!
19708,35586,Here are your keys.,Give your key to you.,Here are your keys.,Here are your keys.,Here are your keys.,Here are your keys.,Here are your keys.,Here are your keys.,"Yes, it is your key.",Here are your keys.,Here are your keys.,Here are your keys.,Here are the keys.,Here are your keys.
20167,36088,What?,What to?,What?,What to?,What is?,What?,What?,What is?,What did you say?,What?,What?,What?,What?,What?
20174,36097,How cute!,very cute!,How precious!,How cute!,How sweet it is!,What is it not sweet!,How cute!,What a cute!,How cute is it.,How beautiful!,How cute!,What charm!,How cute!,How cute!
20359,36297,Everything is ready.,Everything is ready.,Everything is ready.,Everything is ready.,Everything is ready.,Everything is ready.,Everything is ready.,Everything is ready.,Everything was ready.,Everything is ready.,Everything is ready.,Everything is ready.,Everything is ready.,All is ready.
20396,36344,Why is he here?,Why is he here?,Why is he here?,Why is he here?,Why is he here?,Why is he here?,Why is he here?,Why is he here?,Why is he here?,Why is he here?,Why is he here?,Why is he here?,Why is he there?,Why is he here?
20451,36405,Why are you crying?,Why are you crying?,Why are you crying?,Why are you crying?,Why are you crying?,Why are you crying?,Why are you crying?,Why do I cry?,Why are you crying?,Why do you cry?,Why are you crying?,Why are you crying?,Why are you crying?,Why are you crying?
20459,36413,Why did you quit?,Why did you resign?,Why did you resign?,Why did you stop?,Why did you resign?,Why did you stop?,Why did you leave?,Why have you melted?,Why did you stop?,Why did you give up?,Why are you dismissed?,Why did you give up?,Why did you leave?,Why are you released?
20465,36419,Why?,Why?,Why?,Why?,Why to?,Why?,Why?,Why?,Why to?,Why?,Why?,and why?,Why?,Why?
21008,37011,Tom goes to school on foot.,Tom walks to school.,Tom goes on foot to school.,Tom goes to school walking.,Tom goes to school on foot.,Tom goes on foot to school.,Tom walks to school.,Tom goes to school on foot.,Tom walks and goes to school.,Tom walks to school.,Tom goes to school on foot.,Tom goes to school walking.,Tom goes to school.,Tom goes to the school walk.
21012,37015,Tom likes to knit.,Tom likes writing.,Tom likes to breathe.,Tom loves it.,Tom loves tricking.,Tom likes to strike.,Tom loves to swallow.,Tom loves to make the shirt.,Tom loves to play.,Tom loves to work on the roofs.,Tom loves to bind.,Tom likes to tick.,Tom loves to climb.,I like to bind.
21025,37029,Tom frowned.,Tom scratched his head.,by Tom Fronste.,Tom scratched his face.,Tom was sourcilled.,Tom scratched his head.,Tom puts his head.,Tom was cooling.,Tom hunted his eyes.,Tom scratched his bridges.,Tom was swallowed.,Tom scratched the neck.,Tom scratched his legs.,Tom was shaken.
21049,37053,Tom is interested in mountaineering.,Tom is interested in climbing.,Tom is interested in mountain sports.,Tom is interested in the mountains.,He is interested in alpinism.,Tom is interested in climbing.,Tom is interested in the type of mountain.,He is interested in alpinism.,Tom is interested in climbing.,He is interested in alpinism.,Tom is interested in alpinism.,Tom is interested in mountaineering.,Tom is interested in mountains.,Tom is interested in alpinism.
21073,37077,Tom is a student.,Tom is a student.,Tom is a student.,Tom is a student.,Tom is a student.,Tom is a student.,Tom is a student.,Tom is a student.,Tom is a student.,Tom is a student.,Tom is a student.,Tom is a student.,Tom is a student.,Tom is a student.
21078,37083,Tom is interested in mathematics.,Tom is interested in mathematics.,Tom is interested in mathematics.,He is interested in mathematics.,Tom is interested in mathematics.,Tom is interested in mathematics.,Tom is not interested in learning mathematics.,He is interested in mathematics.,Tom is interested in mathematics.,Tom is interested in mathematics.,Tom is interested in mathematics.,Tom is interested in mathematics.,Tom is interested in mathematics.,Tom is interested in mathematics.
21093,37098,Tom drove the car.,Tom drives the car.,Tom was driving the car.,Tom was driving the car.,Tom was driving the car.,Tom was on the drive.,Tom was driving the car.,Tom was driving the car.,Tom drove the car.,Tom was driving the car.,The car was taken by Tom.,Tom was driving the car.,Tom drove the car.,The car was taken by Tom.
