,index,english,chinese,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,polish,russian,spanish,turkish,ukrainian
2447,17073,I received your letter yesterday.,我昨天收到了你的信。,Ik heb gisteren je brief gekregen.,Sain kirjeesi eilen.,J'ai reçu votre lettre hier.,Ich habe deinen Brief gestern erhalten.,קיבלתי את מכתבך אתמול.,Tegnap kaptam meg a leveledet.,Ho ricevuto la tua lettera ieri.,手紙を昨日受け取りました。,Otrzymałem pański list wczoraj.,Я получил вчера твоё письмо.,Recibí tu carta ayer.,Mektubunu dün aldım.,Я отримав твого листа вчора.
2450,17076,Are your hands clean?,你的手乾淨嗎?,Zijn jullie handen schoon?,Ovatko kätesi puhtaat?,Tes mains sont-elles propres ?,Sind deine Hände sauber?,האם ידיך נקיות?,Tiszták a kezeid?,Le tue mani sono pulite?,君の手は清潔ですか。,Masz czyste ręce?,У тебя чистые руки?,¿Tienes las manos limpias?,Ellerin temiz mi?,У тебе чисті руки?
2472,17101,Your bicycle is similar to mine.,你的腳踏車和我的很相似。,Jouw fiets lijkt op die van mij.,Pyöräsi on samantapainen kuin minun.,Votre vélo est similaire au mien.,Dein Fahrrad ist so ähnlich wie meins.,האפניים שלך דומים לשלי.,A kerékpárod hasonlít az enyémre.,La tua bicicletta è simile alla mia.,君の自転車は私のと似ている。,Twój rower podobny jest do mojego.,"У тебя такой же велосипед, как и у меня.",Su bicicleta es similar a la mía.,Bisikletiniz benimkine benziyor.,"Твій велосипед такий самий, як і в мене."
2474,17103,Is your watch correct?,你的手錶準不準？,Loopt je horloge goed?,Onko kellosi oikeassa?,Votre montre est-elle exacte ?,Geht deine Uhr richtig?,האם השעון שלך מדויק?,Pontos az órád?,Il tuo orologio fa l'ora giusta?,君の時計は合ってる？,Czy twój zegarek dobrze chodzi?,Ваши часы идут верно?,¿Su reloj está a la hora?,Saatinizin doğru mudur?,Твій годинник іде правильно?
2480,17110,Where are your things?,你的東西在哪裡?,Waar zijn jouw spullen?,Missä sinun tavarasi ovat?,Où sont tes affaires ?,Wo sind deine Sachen?,איפה הדברים שלך?,Hol vannak a dolgaid?,Dove sono le tue cose?,君の持ち物はどこにあるのですか。,Gdzie są twoje rzeczy?,Где твои вещи?,¿Dónde están vuestras cosas?,Şeylerin nerede?,Де твої речі?
2516,17150,Where do you come from?,你是哪儿人？,Waar kom je vandaan?,Mistä olet kotoisin?,Tu viens d'où ?,Woher kommst du?,מאין אתה בא?,Ön honnan jött?,Da dove vieni?,御出身はどちらですか。,Skąd jesteś?,Откуда вы?,¿De dónde eres?,Nerelisin?,Звідки ти?
2555,17190,Make your choice.,做出您的選擇。,Maak je keuze.,Tee valintasi.,Fais ton choix.,Triff deine Wahl.,תבחר את הבחירה שלך.,Válasszon!,Fai la tua scelta.,君の好きなものを選びなさい。,Wybierz.,Выбери что-нибудь.,Haz tu elección.,Seçimini yap.,Зроби свій вибір.
2562,17198,I know what you mean.,我知道你的意思。,Ik weet wat je wilt zeggen.,Tiedän mitä tarkoitat.,Je sais ce que tu veux dire.,"Ich weiß, was du meinst.",אני יודע מה כוונתך.,"Tudom, mit akarsz mondani.",So cosa intendi.,分かる、分かる。,"Wiem, co chciałeś wyrazić.","Я знаю, что ты имеешь в виду.",Sé lo que quieres decir.,Ne demek istediğinizi biliyorum.,"Я розумію, що ти маєш на увазі."
2643,17283,Where is your school?,你的學校在哪裏？,Waar is je school?,Missä sinun koulusi on?,Où se trouve ton école ?,Wo ist deine Schule?,איפה בית הספר שלך?,Hol van az iskolád?,Dov'è la tua scuola?,君の学校はどこにありますか。,Gdzie jest Twoja szkoła?,Где твоя школа?,¿Dónde está tu escuela?,Okulun nerede?,Де твоя школа?
2703,17344,You're on the right track.,你的想法是對的。,U bent op de goede weg.,Olet oikeilla jäljillä.,Tu es sur la bonne pente.,Du bist auf dem richtigen Weg.,אתה במסלול הנכון.,Jó úton vagy.,Sei sulla strada giusta.,君のやっていることは間違っていないよ。,Jesteś na dobrej drodze.,Вы на верном пути.,Vas por buen camino.,Siz doğru yoldasınız.,Ти на вірному шляху.
2705,17347,Your time is up.,你的時間到了。,Je tijd is om.,Aikasi on loppu.,Votre temps est écoulé.,Deine Zeit ist um.,זמנך עבר.,Lejárt az időd.,Il tuo tempo è scaduto.,君のもち時間はもう終わりです。,Twój czas się skończył.,Твоё время вышло.,Se te acabó el tiempo.,Zamanın bitti.,Твій час вийшов.
2713,17355,Your pen is better than mine.,你的笔比我的好。,Uw pen is beter dan de mijne.,Sinun kynäsi on parempi kuin minun.,Ton stylo est meilleur que le mien.,Dein Stift ist besser als meiner.,העט שלך טוב משלי.,"A tollad jobb, mint az enyém.",La tua penna è migliore della mia.,君のペンは僕のペンよりも上等です。,Twój długopis jest lepszy od mojego.,Твоя ручка лучше моей.,Su pluma es mejor que la mía.,Senin dolma kalemin benimkinden iyidir.,"Твоя ручка краща, ніж моя."
2715,17357,Your plan sounds great.,你的計劃聽起來很不錯。,Uw plan klinkt uitstekend.,Suunnitelmasi kuulostaa hienolta.,Votre plan semble excellent.,Dein Plan hört sich toll an.,התוכנית שלך נראית מצוינת.,A terved kitűnően hangzik.,Il tuo piano sembra ottimo.,君のプランは素晴らしい。,Twój plan brzmi wspaniale.,Твой план звучит здорово.,Tu plan suena genial.,Planın muhteşem görünüyor.,Твій план звучить чудово.
2749,17395,Your cake is delicious.,您的蛋糕很美味。,Je taart is heerlijk.,Kakkusi on tosi hyvää.,Ton gâteau est délicieux.,Dein Kuchen schmeckt gut.,העוגה שלך ממש מעדן.,A süteményed felséges.,La tua torta è deliziosa.,君のケーキはおいしいね。,Twoje ciasto jest pyszne.,Ваш торт вкусный.,Tu tarta está deliciosa.,Kek'in lezzetli.,Твій торт смачний.
2754,17400,Here is your bag.,你的袋子在這裡。,Hier is jouw tas.,Tässä on laukkusi.,Ton sac est ici.,Deine Tasche ist hier.,הנה התיק שלך.,Itt a táskád!,Ecco la tua borsa.,君のかばんはここにあるよ。,Tutaj jest twoja torba.,Вот твоя сумка.,Aquí está tu bolsa.,İşte senin çantan.,Ось твоя сумка.
2774,17421,I believe you.,我相信你。,Ik geloof je.,Minä uskon sinua.,Je te crois.,Ich glaube euch.,אני מאמין לך.,Hiszek neked.,Ti credo.,僕は君を信じる。,Wierzę ci.,Я вам верю.,Te creo.,Sana inanıyorum.,Я вірю тобі.
2776,17423,I don't agree with you.,我不同意你的看法。,Ik ben het niet met u eens.,En ole samaa mieltä kanssasi.,Je ne suis pas d'accord avec toi.,Ich bin nicht Ihrer Meinung.,אני לא מסכים אתך.,Nem értek veled egyet.,Non sono d'accordo con te.,賛成はできません。,Nie zgadzam się z tobą.,Я не согласен с тобой.,No estoy de acuerdo contigo.,Sizinle aynı fikirde değilim.,Я не згодний з тобою.
2806,17453,You are wanted on the phone.,有你的電話。,Er is telefoon voor je.,Sinua kaivataan puhelimeen.,On te réclame au téléphone.,Da ist jemand am Telefon für dich.,רוצים אותך בטלפון.,Téged hívnak telefonon.,Ti chiamano al telefono.,電話です。,Jesteś proszony do telefonu.,Тебя просят к телефону.,El teléfono es para ti.,Telefonda isteniyorsun.,Тебе до телефону.
2880,17534,You deserve the prize.,你應該得到這個獎金。,Jij verdient de prijs.,Ansaitset palkinnon.,Tu mérites le prix.,Du verdienst den Preis.,מגיע לך הפרס.,Megérdemled a díjat.,Ti meriti il premio.,君にはその賞を取るに値する。,Zasługujesz na nagrodę.,Ты заслуживаешь этой награды.,Te mereces el premio.,Ödülü hak ediyorsun.,Ти заслуговуєш на приз.
2884,17538,Green suits you.,綠色適合你。,Groen staat je goed.,Vihreä sopii sinulle.,Le vert te va bien.,Grün steht dir.,הצבע הירוק הולם אותך.,A zöld illik hozzád.,Il verde ti sta bene.,君にはグリーンが似合う。,Zielony ci pasuje.,Зеленый тебе идет.,El verde te queda.,Yeşil size uyar.,Зелене тобі пасує.
3032,17707,I want you.,我想要你。,Ik wil jou.,Minä haluan sinut.,Je te veux.,Ich will dich.,אני רוצה אותך.,Akarlak téged!,Ti voglio.,君が欲しい。,Chcę ciebie.,Я хочу тебя.,Yo te deseo.,Seni istiyorum.,Я хочу тебе.
3055,17735,I need you.,我需要你。,Ik heb u nodig.,Minä tarvitsen sinua.,J'ai besoin de toi.,Ich brauche dich.,אני זקוק לך.,Szükségem van rád.,Ho bisogno di voi.,君が必要だ。,Potrzebuję cię.,Ты нужна мне.,Te necesito.,Sana ihtiyacım var.,Ти потрібна мені.
3082,17764,Show me what you bought.,让我看一下你买的东西。,Laat zien wat ge gekocht hebt.,Näytä minulle mitä ostit.,Montre-moi ce que tu as acheté.,"Zeig mir, was du gekauft hast.",הראה לי מה קנית.,"Mutasd, mit vettél!",Mostrami quello che hai comprato.,君が買った物を見せなさい。,"Pokaż mi, co kupiłeś.","Покажи мне, что ты купил.",Enséñame lo que compraste.,Bana ne aldığını göster.,"Покажи мені, що ти купив."
3110,17795,I guess you are right.,我猜你是對的。,Ik vermoed dat je gelijk hebt.,"Luulen, että olet oikeassa.",Je suppose que tu as raison.,"Ich vermute, dass ihr Recht habt.",אני משער שאתה צודק.,"Feltételezem, hogy igaza van.",Suppongo che abbiate ragione.,君が正しいと思うよ。,"Zdaje się, że masz rację.","Пожалуй, ты прав.",Supongo que tienes razón.,Haklısınız sanırım.,"Думаю, ти маєш рацію."
3143,17829,I love you more than you love me.,我爱你胜过你爱我。,Ik hou meer van jou dan jij van mij.,Minä rakastan sinua enemmän kuin sinä minua.,Je t'aime plus que tu ne m'aimes.,Ich liebe dich mehr als du mich.,אני אוהב אותך יותר משאתה אוהב אותי.,"Jobban szeretlek, mint te engem.",Ti amo di più di quanto mi ami.,君が私を愛している以上に私は君を愛している。,Kocham cię bardziej niż ty mnie.,"Я люблю тебя больше, чем ты меня.",Yo te amo más de lo que tú me amas a mí.,Ben seni senin beni sevdiğinden daha çok seviyorum.,"Я кохаю тебе більше, ніж ти мене."
3185,17881,I know you are rich.,我知道你很有钱。,Ik weet dat je rijk bent.,Tiedän että olet rikas.,Je sais que vous êtes riche.,"Ich weiß, dass du reich bist.",אני יודע שאתה עשיר.,"Tudom, hogy gazdag vagy.",So che sei ricco.,君が金持ちなのは知っているよ。,"Wiem, że jesteś bogaty.","Я знаю, что Вы богаты.",Sé que eres rico.,Zengin olduğunu biliyorum.,"Я знаю, що ти багатий."
3310,18017,I don't blame you.,我不怪你。,Ik verwijt u dat niet.,En syytä siitä sinua.,Je ne te le reproche pas.,Ich gebe dir keine Schuld.,אינני מאשימה אותך.,Nem vádollak.,Non ti incolpo.,君がそうするのは当然だ。,Nie winię ciebie.,Я тебя не виню.,No te culpo.,Seni suçlamıyorum.,Я тебе не звинувачую.
3361,18073,You don't understand.,你不了解。,Je begrijpt het niet.,Sinä et ymmärrä.,Tu ne comprends pas.,Sie verstehen nicht.,אתה לא מבין.,Nem érted.,Non capisci.,君、わかってないね。,Ty nie rozumiesz.,Ты не понимаешь.,No lo entiendes.,Anlamıyorsun.,Ти не розумієш.
3552,18278,The sky is full of stars.,天空中繁星点点。,De hemel is bezaaid met sterren.,Taivas on täynnä tähtiä.,Le ciel est rempli d'étoiles.,Der Himmel ist voll mit Sternen.,השמיים מלאים כוכבים.,Az ég teli van csillagokkal.,Il cielo è pieno di stelle.,空は星でいっぱいだ。,Niebo pełne jest gwiazd.,На небе полно звёзд.,El cielo está lleno de estrellas.,Gökyüzü yıldızlarla dolu.,Небо повне зірок.
3619,18356,Stop grumbling.,停止发牢骚吧。,Hou op met morren.,Lopeta marmatus.,Arrête de râler.,Hör auf zu murren.,תפסיק לקטר.,Fejezd be a nyavalygást!,Smettetela di lamentarvi.,愚痴はやめろよ。,Przestań narzekać.,Перестань ворчать.,Deja de refunfuñar.,Homurdanmayı bırak.,Припини бурчати.
3758,18505,Money is the root of all evil.,金錢是一切罪惡之源。,Geld is de wortel van alle kwaad.,Raha on kaiken pahan alku ja juuri.,L'argent est la racine de tous les maux.,Geld ist der Ursprung allen Übels.,הכסף הוא שורש כל רע.,A pénz minden rossz gyökere.,Il denaro è la radice di tutti i mali.,金銭はすべてのあくの根である。,Pieniądze to źródło wszelkiego zła.,Деньги — корень зла.,El dinero es la raíz de todos los males.,Para tüm kötülüklerin köküdür.,Гроші — корінь зла.
3781,18531,I wish I were rich.,但願我很有錢。,Ik wenste dat ik rijk was.,Olisinpa rikas.,Je souhaite être riche.,"Ich wünschte, ich wäre reich.",הלוואי והייתי עשיר.,Szeretnék gazdag lenni.,Vorrei essere ricco.,金持ちであればいいのに。,Chciałabym być bogata.,Хотел бы я быть богатым.,Ojalá fuera rico.,Keşke zengin olsaydım.,Я хотів би бути багатим.
3845,18604,The price of gold varies from day to day.,金價每天都在變動。,De goudprijs verandert van dag tot dag.,Kullan hinta vaihtelee päivittäin.,Le prix de l'or varie d'un jour à l'autre.,Der Goldpreis ändert sich täglich.,מחיר הזהב משתנה מדי יום.,Az arany ára minden nap változik.,Il prezzo dell'oro cambia da giorno a giorno.,金の値段は日ごとに変わる。,Cena złota zmienia się z dnia na dzień.,Цена на золото меняется день ото дня.,El precio del oro varía de día a día.,Altının fiyatı günden güne değişiyor.,Ціна на золото змінюється щодня.
3870,18631,Money talks.,金钱万能。,Geld regeert de wereld.,Raha puhuu.,L'argent est roi.,Geld regiert die Welt.,ממון מדבר.,Pénz beszél.,I soldi parlano.,金がものを言う。,Pieniądze mają siłę przekonywania.,Деньги решают всё.,El dinero mueve el mundo.,Para konuşur.,Гроші вирішують усе.
4377,19170,Don't be afraid.,不要害怕。,Wees niet bang.,Älä pelkää.,N'aie pas peur.,Hab keine Angst.,אל תפחד.,Ne majrézz!,Non aver paura.,恐れるな。,Nie bój się.,Не бойся.,No tengas miedo.,Korkma.,Не бійся.
