,index,english,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,mandarin,polish,portuguese,russian,spanish,turkish,ukrainian
4377,19170,Don't be afraid.,Wees niet bang.,Älä pelkää.,N'aie pas peur. | N'ayez pas peur. | N'aie pas peur ! | N'ayez pas peur ! | Ayez crainte.,Hab keine Angst. | Habe keine Angst.,אל תפחד. | אל תפחדי. | אל חשש! | אל פחד!,Ne majrézz! | Ne fossál!,Non aver paura. | Non abbiate paura. | Non avere paura. | Non abbia paura.,恐れるな。,不要害怕。 | 別怕！,Nie bój się.,Não tenha medo. | Não fique com medo. | Não temas. | Não tenham medo. | Não tenhas medo.,Не бойся. | Не бойтесь.,No tengas miedo.,Korkma. | Korkmayın.,Не бійся. | Не бійтеся!
4540,19342,"Fish, please.","Vis, alsjeblieft.","Kalaa, kiitos.",Du poisson s'il vous plaît.,"Fisch, bitte.",דג בבקשה.,"Halat, tessék!","Del pesce, per favore. | Del pesce, per piacere.",魚をお願いします。,鱼，谢谢。,Poproszę rybę.,"Peixe, por favor.","Мне рыбу, пожалуйста. | Рыбу, пожалуйста.","Pescado, por favor.","Balık, lütfen.","Рибу, будь ласка. | Мені рибу, будь ласка."
4770,19587,Call an ambulance.,Bel een ziekenwagen. | Bel een ambulance.,Soita ambulanssi! | Soita ambulanssi. | Soittakaa ambulanssi.,Appelez une ambulance. | Appelle une ambulance.,Ruf einen Krankenwagen. | Ruft einen Krankenwagen. | Rufen Sie einen Krankenwagen. | Ruf den Krankenwagen!,תזמין אמבולנס.,Hívd a mentőket!,Chiama un'ambulanza. | Chiami un'ambulanza. | Chiamate un'ambulanza.,救急車を呼んでくれ。 | 救急車を呼んで！ | 救急車を呼んでください。,叫救护车。,Wezwij karetkę.,Chamem uma ambulância. | Chama uma ambulância. | Chame uma ambulância.,Вызовите скорую. | Вызови скорую. | Вызывай скорую. | Вызывайте скорую. | Вызови неотложку. | Вызовите неотложку. | Вызывай неотложку. | Вызывайте неотложку.,Llama a una ambulancia. | Llama una ambulancia. | Llamen a una ambulancia.,Bir ambulans çağırın.,Викличте швидку. | Виклич швидку.
4896,19729,Haste makes waste.,Haastige spoed is zelden goed.,Hitaasti mutta varmasti.,La vitesse crée de la perte. | Hâte-toi lentement.,Eile mit Weile!,המהירות מהשטן. | החיפזון מהשטן.,"Hamar munka ritkán jó. | Lassan járj, tovább érsz. | Lassan járj!",La fretta è cattiva consigliera. | La gatta frettolosa fa i gattini ciechi. | Chi va piano va sano e va lontano.,急がば回れ。 | 慌てることは無駄を作る。 | 急ぐと無駄が出来る。 | 急いては事を仕損じる。 | 短気は損気。,欲速則不達。,"Gdy się człowiek spieszy, to się diabeł cieszy.",A pressa é inimiga da perfeição. | A pressa produz lixo.,Поспешишь — людей насмешишь. | Поспешил - людей насмешил.,La prisa es mala consejera.,Acele işe şeytan karışır. | Acele ile menzil alınmaz. | Acele giden ecele gider. | Acele yürüyen yolda kalır.,Поспішиш — людей насмішиш.
4900,19733,Please hurry.,Schiet alsjeblieft op. | Schiet alstublieft op. | Haast u alstublieft!,Olkaa hyvä ja kiirehtikää. | Ole hyvä ja pidä kiirettä.,Dépêchez-vous s'il vous plaît.,Bitte beeile dich. | Bitte beeilen Sie sich. | Bitte beeilt euch. | Beeil dich bitte! | Beeilt euch bitte!,הזדרזי בבקשה!,"Siessél, kérlek! | Kérlek, siess!","Per piacere, sbrigati. | Per favore, sbrigati. | Per piacere, sbrigatevi. | Per favore, sbrigatevi. | Per piacere, si sbrighi. | Per favore, si sbrighi.",急いでください。,请抓紧时间。,"Proszę, pośpiesz się. | Pośpiesz się. | Proszę się pospieszyć. | Niech pan się pospieszy. | Niech pani się pospieszy. | Pospieszcie się.","Por favor, apresse-se! | Por favor, apressem-se! | Apresse-se, por favor! | Apressem-se, por favor! | Despacha-te, por favor. | Despachem-se, por favor.","Побыстрее, пожалуйста. | Быстрее, пожалуйста. | Пожалуйста, поспешите.",Apúrate por favor.,Lütfen acele et.,"Будь ласка, швидше. | Хутчіш, будь ласка."
5007,19847,I haven't seen him for a long time.,Ik heb hem lang niet gezien.,En ole nähnyt häntä pitkään aikaan.,Je ne l'ai pas vu depuis longtemps.,Ich habe ihn schon lange nicht mehr gesehen. | Ich habe ihn seit Langem nicht gesehen.,לא ראיתי אותו כבר זמן רב. | לא ראיתי אותו כבר הרבה זמן.,Sokáig nem láttam őt.,Non lo vedo da molto tempo. | Io non lo vedo da molto tempo.,彼には随分長いこと会っていない。 | 私は長い間彼に会っていない。 | 久しく彼に会わない。 | 私は彼に久しく会っていない。,我很久没见过他了。,Długo go nie widziałem.,Não o tenho visto há um longo tempo.,Я давно его не видел. | Я его давно не видел.,No lo he visto desde hace un largo tiempo. | Hace mucho tiempo que no lo veo. | No lo veo desde hace mucho tiempo.,Ben uzun bir süre onu görmedim.,Я давно його не бачив. | Я давно його не бачила.
5224,20086,All that glitters is not gold.,Het is niet alles goud wat er blinkt. | Het is niet al goud dat blinkt.,"Kaikki, mikä kiiltää, ei ole kultaa. | Ei kaikki ole kultaa mikä kiiltää. | Ei kaikki kultaa mikä kiiltää eikä kaikki hopeata mikä hohtaa.",Tout ce qui brille n'est pas or. | Tout ce qui brille n'est pas d'or.,"Es ist nicht alles Gold, was glänzt. | Nicht nur Gold glänzt.",לא כל הנוצץ זהב.,"Nem mind arany, ami fénylik.",Non è tutto oro quello che luccica. | Non è tutt’oro quel che riluce. | Non è tutt'oro quello che riluce.,光るものすべてが金ではない。 | 輝くものすべてが金とは限らない。 | 輝けるもの必ずしも金ならず。 | 光るもの必ずしも金ならず。,發光的未必都是金子。 | 光看表面是不足夠的。,"Nie wszystko złoto, co się świeci.",Nem tudo que brilha é ouro. | Nem tudo que reluz é ouro.,"Не всё то золото, что блестит.",No es oro todo lo que reluce. | No todo lo que brilla es oro.,Her parlayan şey altın değildir. | Her gördüğün sakallıyı deden sanma. | Her sakallıyı deden sanma.,"Не все то золото, що блищить. | Не все золото, що блищить."
5235,20097,You are beautiful.,Ge zijt mooi. | Jullie zijn mooi. | Jij bent mooi. | Je bent mooi. | Je bent knap.,Olet kaunis. | Olette kaunis. | Olette kauniita.,Tu es beau. | Tu es belle. | Vous êtes beau. | Vous êtes belle. | Vous êtes beaux. | Vous êtes belles.,Du bist schön. | Sie sind schön.,את יפה. | אתה נאה.,Szép vagy. | Gyönyörű vagy.,Sei bella. | Sei bello. | Siete belli. | Siete belle. | Voi siete belle. | Lei è bello. | Lei è bella. | Tu sei bello. | Tu sei bella. | Voi siete belli. | È bello. | È bella.,あなたたちは美しい。,你很漂亮.,Jesteś piękna. | Jesteś piękny.,Você é bonito. | Vocês são belos. | Você é bela. | Você é bonita. | Vocês são belas. | Você é belo. | Você está linda.,Ты красивая. | Вы красивы. | Вы красивые. | Вы красивая. | Ты красива.,Eres guapa.,Sen güzelsin.,Ви гарні. | Ти гарний. | Ти гарна. | Ви гарна. | Ти прекрасний. | Ти прекрасна. | Ви прекрасний. | Ви прекрасна. | Ви прекрасні. | Ви гарний.
5418,20288,I'm not feeling well.,Ik voel me niet goed. | Ik voel me niet lekker.,Minulla on huono olo. | En voi ihan hyvin.,Je ne me sens pas bien.,Ich fühle mich nicht gut. | Mir geht es nicht so gut. | Ich fühle mich nicht recht wohl.,אני לא מרגיש טוב. | אני מרגיש לא טוב.,Nem érzem jól magam. | Nem jól érzem magam.,Non mi sento bene.,気分が良くないんですよ。 | 気分が良くないです。 | 気分がよくありません。 | 気分が悪い。,我感觉不舒服。 | 我身体不适。,Nie czuję się dobrze.,Eu não me sinto bem. | Eu não estou me sentindo bem. | Não estou me sentindo bem.,Мне не очень хорошо.,No me siento bien.,İyi hissetmiyorum. | Kendimi iyi hissetmiyorum.,Мені не дуже добре. | Я не дуже добре почуваюся. | Не відчуваю себе добре.
5471,20344,Take it easy.,Kalm aan. | Rustig aan. | Rustig maar. | Ontspan u!,Ota rauhallisesti. | Rauhoitu hyvä ihminen. | Rauhoitu.,Reste cool. | Ne t'en fais pas. | Tranquille. | Du calme.,Beruhige dich! | Immer mit der Ruhe.,קח את זה בקלות.,Csak lassan! | Nyugodj meg! | Vedd lazán!,Stai tranquillo. | Non te la prendere. | Vacci piano.,落ち着けよ。 | 無理しないでね。 | 気楽にやりなさい。 | のんびり行こう。 | 落ち着いて！ | 落ち着いて。 | 落ちつけよ。 | 落ちついて。 | もっと気楽に生きなよ。 | のんびりしていきな。,放輕鬆。 | 別緊張。,Spokojnie.,Pega leve. | Pegue leve. | Acalme-se!,Смотри на это проще. | Успокойся. | Не бери в голову. | Не парься. | Не парьтесь. | Не берите в голову. | Не принимай близко к сердцу. | Не принимайте близко к сердцу.,Relájate.,Sakin olun. | Kendini yorma.,Не переймайся. | Розслабся.
5504,20379,Are you crazy?,Ben je gek? | Ben je niet goed wijs?,Oletko hullu?,Es-tu fou ? | Tu es folle ? | Es-tu folle ?,Bist du verrückt? | Gehts noch? | Hast du einen Vogel?,אתה משוגע?,Megbolondultál? | Bolondgombát ettél?,Sei pazzo? | Sei pazza? | Siete pazzi? | Siete pazze? | È pazzo? | È pazza?,気は確かか。 | おかしいんじゃない？ | 気は確かかい？ | 頭大丈夫か？,你疯了吗？,Oszalałeś? | Pogrzało cię? | Porąbało cię? | Zwariowałeś? | Powaliło cię? | Oszalałaś? | Zwariowałaś?,Estás louco? | Você é louco? | Você está louco? | Estás louca?,"Ты с ума сошёл? | Ты ненормальная? | Ты ненормальный? | Вы с ума сошли? | Ты с ума сошла? | С ума сошёл? | С ума сошла? | С ума сошли? | Ты что, того?",¿Te has vuelto loco? | ¿Estás loco? | ¿Estás loca? | ¡No seas boludo!,Deli misin?,Ви здуріли?
5514,20392,Never mind.,Maakt niet uit. | Dat geeft niets. | Laat maar! | Laat maar. | Laat maar zitten.,Ei sen väliä. | Ei mitään.,Ce n'est pas grave. | Ça ne fait rien. | Qu'importe ! | Peu importe ! | Pas de problème.,Das macht nichts. | Vergiss es.,לא חשוב. | לא משנה. | אין דבר.,Nem történt semmi. | Rá se ránts! | Ne is törődj vele! | Mindegy!,Non importa. | Non fa niente!,気にするなよ。,没有关系呀。,Nieważne.,Tudo bem. | Não se preocupe.,Не важно. | Ничего страшного.,Olvídalo.,Aldırma. | Salla gitsin. | Takma kafana.,Не зважай. | Пусте.
5520,20398,Forget it.,Vergeet dat. | Vergeet het. | Laat maar. | Vergeet het maar! | Daar kun je naar fluiten! | Vergeet 't maar! | Vergeet dat! | Vergeet het! | Vergeet hem. | Schei uit. | Laat maar! | Dat kun je op je buik schrijven!,Unohda se. | Ei enää puhuta siitä!,Laisse tomber. | Oublie. | Oublie-le ! | Laissez tomber. | Oubliez ça !,Vergiss es. | Das kannst du knicken.,שכח מזה. | תשכח מזה. | תשכחי מזה. | תשכח את זה. | שְׁכַח מִזֶה! | תשכחי מזה!,"Felejtsd el! | Vedd úgy, hogy nem is mondtam! | Spongyát rá! | Verd ki a fejedből. | Felejtős! | Az felejtős! | Ez felejtős! | Azt el kell felejteni! | Ezt el lehet felejteni! | Ezt tessék elfelejteni! | Verd ki a fejedből! | Ezt most felejtsd el!",Dimenticalo. | Dimenticala. | Dimenticatelo. | Dimenticatela. | Lo dimentichi. | La dimentichi.,気にしないで。 | 忘れて。,不必在意。 | 放棄吧。 | 算了。,Zapomnij! | Zapomnij o tym! | Nie ma mowy! | Nie ma o czym mówić.,Esqueça. | Esquece. | Esqueçam. | Deixa. | Esqueça! | Esquece! | Esqueça isso.,Забудь про это. | Попустись. | Забудь! | Забудьте. | Забей.,Olvídalo. | Déjalo.,Unut gitsin.,Облиш! | Забудь про це.
5526,20405,I'm exhausted.,Ik ben bekaf.,Olen uupunut. | Olen ihan poikki. | Olen ihan loppu. | Olen rättiväsynyt. | Olen uuvuksissa.,Je suis épuisée. | Je suis épuisé. | Je suis vanné. | Je suis vannée. | Je suis fourbu. | Je suis crevé. | Je suis exténué. | Je suis crevée. | Je suis à bout.,Ich bin erschöpft. | Ich bin kaputt. | Ich bin sehr müde.,אני סחוטה. | אני מותש.,Kimerültem. | Kimerült vagyok. | Hulla vagyok. | Kifulladtam. | Ki vagyok purcanva. | Teljesen ki vagyok.,Sono sfinita. | Io sono stanco! | Sono esausto. | Sono esausta.,疲れたなあ。 | 私は大変疲れています。 | 私は、とても疲れている。 | 気が抜けちゃったよ。 | もうヘトヘトです。 | くたくたに疲れました。 | 大変疲れた。 | とても疲れた。 | 超疲れた！ | もうくたくただよ。 | すっごく疲れた。 | くたくたに疲れた。 | へとへとに疲れた。 | 疲れたー。 | 疲れた！ | へとへとよ。,我累死了。 | 困死了。 | 我很疲惫。,Jestem wyczerpany.,Estou exausto. | Eu estou exausta. | Eu estou morto. | Estou esgotado. | Estou esgotada. | Estou de rastos!,Я совершенно без сил. | Я истощён. | Я без сил. | Я изнурен. | Я изнурена. | Я опустошен. | Я устал!,Estoy exhausto. | Estoy reventado. | Estoy agotado.,Çok yoruldum. | Çok yorgunum. | Ben çok yorgunum.,Я виснажена. | Я виснажений.
